"","event_type","xg","secondary_type","event_goalie_id","goal","goalie_id_stan"
"7","SHOT",-0.36758142106865,"wrist",8477424,0,33
"8","SHOT",0.914101968777291,"tip-in",8477424,0,33
"10","SHOT",-0.38794130189548,"snap",8477424,0,33
"16","SHOT",-0.384078120495441,"wrist",8477424,0,33
"28","SHOT",-0.349417656455831,"snap",8477992,0,41
"32","SHOT",-0.387494343288842,"snap",8477992,0,41
"39","SHOT",-0.384469422998442,"wrist",8477424,0,33
"40","GOAL",-0.382440140777065,"slap",8477424,1,33
"46","SHOT",-0.388002842337339,"snap",8477424,0,33
"48","SHOT",-0.377367895128752,"wrist",8477424,0,33
"52","SHOT",-0.360073325466695,"wrist",8477424,0,33
"56","SHOT",-0.384834236568612,"wrist",8477424,0,33
"60","SHOT",-0.370805521673529,"snap",8477424,0,33
"73","SHOT",-0.368304758349352,"slap",8477424,0,33
"101","SHOT",-0.219494699013199,"wrist",8477424,0,33
"107","SHOT",-0.316824103432014,"wrist",8477424,0,33
"112","SHOT",-0.376566275103659,"slap",8477424,0,33
"114","SHOT",-0.386074502439028,"wrist",8477424,0,33
"116","SHOT",-0.38846812726108,"wrist",8477992,0,41
"117","SHOT",-0.271657264717294,"poke",8477992,0,41
"120","SHOT",-0.355872140680986,"wrist",8477992,0,41
"122","SHOT",0.10031239990883,"backhand",8477424,0,33
"144","SHOT",-0.157956327538565,"snap",8477992,0,41
"150","SHOT",-0.298736739396665,"wrist",8477992,0,41
"151","SHOT",-0.00108191698844767,"wrist",8477992,0,41
"161","SHOT",1.7864071353558,"tip-in",8477992,0,41
"164","SHOT",-0.366238736229665,"wrist",8477992,0,41
"172","SHOT",-0.36922978521525,"wrist",8477992,0,41
"175","GOAL",2.49227114491265,"tip-in",8477992,1,41
"179","SHOT",-0.365089060764247,"wrist",8477992,0,41
"181","SHOT",-0.368311934538505,"slap",8477992,0,41
"195","SHOT",-0.36873657363981,"slap",8477992,0,41
"203","GOAL",-0.219648037441242,"wrist",8477992,1,41
"206","SHOT",-0.182591935088739,"wrist",8477992,0,41
"207","SHOT",0.144521174594994,"wrist",8477992,0,41
"208","SHOT",-0.168811886098624,"wrist",8477992,0,41
"209","SHOT",-0.111834285689012,"poke",8477992,0,41
"212","SHOT",-0.386116486738806,"wrist",8477992,0,41
"217","SHOT",-0.351736602455382,"slap",8477424,0,33
"218","SHOT",-0.294184222489128,"snap",8477424,0,33
"219","SHOT",-0.284568806603104,"wrist",8477424,0,33
"220","GOAL",-0.0225211807626526,"wrist",8477424,1,33
"239","SHOT",-0.386458810125324,"slap",8477424,0,33
"242","SHOT",-0.388753192991018,"wrist",8477424,0,33
"246","SHOT",1.18578130664718,"backhand",8477992,0,41
"251","SHOT",-0.362317480997024,"snap",8477992,0,41
"253","GOAL",-0.342105485875111,"wrist",8477992,1,41
"261","SHOT",-0.34840023230469,"wrist",8477424,0,33
"264","SHOT",-0.343491232982201,"wrist",8477424,0,33
"265","SHOT",-0.360571825931185,"wrist",8477424,0,33
"266","GOAL",-0.0543012201774944,"wrist",8477424,1,33
"271","SHOT",-0.373350356791706,"wrist",8477992,0,41
"275","SHOT",-0.357522037938098,"wrist",8477424,0,33
"280","SHOT",-0.385543889640264,"slap",8477992,0,41
"282","SHOT",-0.387344654125802,"slap",8477424,0,33
"283","SHOT",-0.319460553880631,"wrist",8477424,0,33
"289","SHOT",-0.380259903635393,"slap",8477424,0,33
"291","SHOT",-0.382441595178777,"slap",8477992,0,41
"294","SHOT",-0.35970854440668,"wrist",8477424,0,33
"298","SHOT",-0.335490237217877,"wrist",8477992,0,41
"299","SHOT",-0.122914568135266,"poke",8477992,0,41
"303","SHOT",-0.355554619121312,"slap",8477992,0,41
"315","SHOT",-0.372912588720594,"slap",8477992,0,41
"323","SHOT",0.522250749098253,"backhand",8475852,0,17
"324","SHOT",-0.387657679873125,"wrist",8477465,0,34
"327","SHOT",-0.373741900554286,"wrist",8475852,0,17
"334","SHOT",-0.382371285122359,"wrist",8477465,0,34
"338","SHOT",-0.383441498922469,"wrist",8477465,0,34
"348","SHOT",-0.385409545698582,"wrist",8475852,0,17
"350","SHOT",2.66083861670475,"backhand",8475852,0,17
"359","SHOT",-0.350560162576339,"wrist",8477465,0,34
"360","SHOT",-0.0193334607333078,"snap",8477465,0,34
"364","GOAL",1.59010175214121,"tip-in",8475852,1,17
"367","SHOT",-0.379174315098125,"wrist",8477465,0,34
"368","SHOT",0.36867266303098,"backhand",8475852,0,17
"370","SHOT",-0.371464175721379,"wrist",8477465,0,34
"374","SHOT",3.30757383910122,"tip-in",8475852,0,17
"376","SHOT",-0.373422339410093,"wrist",8477465,0,34
"377","SHOT",-0.374663003957683,"wrist",8477465,0,34
"378","SHOT",-0.369886842843339,"wrist",8477465,0,34
"381","SHOT",-0.343372711220087,"wrist",8475852,0,17
"391","SHOT",-0.306148493718147,"wrist",8477465,0,34
"397","SHOT",-0.317794014845811,"snap",8475852,0,17
"403","SHOT",-0.385410056450242,"snap",8477465,0,34
"404","SHOT",-0.31851934722345,"wrist",8475852,0,17
"407","SHOT",-0.357404303263969,"slap",8475852,0,17
"418","SHOT",-0.38241629714429,"wrist",8477465,0,34
"420","SHOT",-0.0417122748578023,"backhand",8477465,0,34
"421","SHOT",-0.275860944229704,"wrist",8477465,0,34
"425","SHOT",-0.326809484892391,"wrist",8477465,0,34
"426","SHOT",-0.377820289347907,"snap",8477465,0,34
"433","SHOT",-0.376824147371466,"wrist",8475852,0,17
"437","SHOT",-0.0873870043388924,"tip-in",8475852,0,17
"444","SHOT",-0.331137079430676,"wrist",8475852,0,17
"451","SHOT",-0.381055591412561,"wrist",8477465,0,34
"465","SHOT",-0.366611020291454,"wrist",8475852,0,17
"469","SHOT",-0.371721163370733,"wrist",8477465,0,34
"474","SHOT",-0.383798852267387,"wrist",8477465,0,34
