"","event_type","xg","secondary_type","event_goalie_id","goal"
"7","SHOT",0.00178236945066601,"wrist",8477424,0
"8","SHOT",0.0889841690659523,"tip-in",8477424,0
"10","SHOT",0.000397145719034597,"snap",8477424,0
"16","SHOT",0.000659984711091965,"wrist",8477424,0
"28","SHOT",0.00301817618310452,"snap",8477992,0
"32","SHOT",0.000427555409260094,"snap",8477992,0
"39","SHOT",0.000633361691143364,"wrist",8477424,0
"40","GOAL",0.00077142781810835,"slap",8477424,1
"46","SHOT",0.000392958696465939,"snap",8477424,0
"48","SHOT",0.00111652782652527,"wrist",8477424,0
"52","SHOT",0.0022931972052902,"wrist",8477424,0
"56","SHOT",0.000608540896791965,"wrist",8477424,0
"60","SHOT",0.00156301155220717,"snap",8477424,0
"73","SHOT",0.00173315580468625,"slap",8477424,0
"101","SHOT",0.0118577349931002,"wrist",8477424,0
"107","SHOT",0.00523574138060212,"wrist",8477424,0
"112","SHOT",0.00117106758989394,"slap",8477424,0
"114","SHOT",0.000524157017935067,"wrist",8477424,0
"116","SHOT",0.000361302139936015,"wrist",8477992,0
"117","SHOT",0.00830875430256128,"poke",8477992,0
"120","SHOT",0.00257903290912509,"wrist",8477992,0
"122","SHOT",0.0336164273321629,"backhand",8477424,0
"144","SHOT",0.0160446166992188,"snap",8477992,0
"150","SHOT",0.00646635005250573,"wrist",8477992,0
"151","SHOT",0.0267178695648909,"wrist",8477992,0
"161","SHOT",0.148333132266998,"tip-in",8477992,0
"164","SHOT",0.0018737216014415,"wrist",8477992,0
"172","SHOT",0.00167021981906146,"wrist",8477992,0
"175","GOAL",0.196357950568199,"tip-in",8477992,1
"179","SHOT",0.00195194198749959,"wrist",8477992,0
"181","SHOT",0.00173266755882651,"slap",8477992,0
"195","SHOT",0.00170377641916275,"slap",8477992,0
"203","GOAL",0.0118473023176193,"wrist",8477992,1
"206","SHOT",0.0143684856593609,"wrist",8477992,0
"207","SHOT",0.0366242565214634,"wrist",8477992,0
"208","SHOT",0.015306037850678,"wrist",8477992,0
"209","SHOT",0.0191826187074184,"poke",8477992,0
"212","SHOT",0.0005213005351834,"wrist",8477992,0
"217","SHOT",0.00286040222272277,"slap",8477424,0
"218","SHOT",0.00677608931437135,"snap",8477424,0
"219","SHOT",0.0074302926659584,"wrist",8477424,0
"220","GOAL",0.0252592079341412,"wrist",8477424,1
"226","GOAL",0.0221034120768309,"wrist",NA,1
"239","SHOT",0.000498009903822094,"slap",8477424,0
"242","SHOT",0.000341907143592834,"wrist",8477424,0
"246","SHOT",0.107468396425247,"backhand",8477992,0
"251","SHOT",0.00214051175862551,"snap",8477992,0
"253","GOAL",0.00351567380130291,"wrist",8477992,1
"261","SHOT",0.00308739859610796,"wrist",8477424,0
"264","SHOT",0.003421391826123,"wrist",8477424,0
"265","SHOT",0.00225928076542914,"wrist",8477424,0
"266","GOAL",0.0230969917029142,"wrist",8477424,1
"271","SHOT",0.0013898687902838,"wrist",8477992,0
"275","SHOT",0.00246677896939218,"wrist",8477424,0
"280","SHOT",0.000560258282348514,"slap",8477992,0
"282","SHOT",0.00043773979996331,"slap",8477424,0
"283","SHOT",0.00505636539310217,"wrist",8477424,0
"289","SHOT",0.000919764454010874,"slap",8477424,0
"291","SHOT",0.000771328865084797,"slap",8477992,0
"294","SHOT",0.00231801578775048,"wrist",8477424,0
"298","SHOT",0.00396575499325991,"wrist",8477992,0
"299","SHOT",0.0184287503361702,"poke",8477992,0
"303","SHOT",0.00260063610039651,"slap",8477992,0
"315","SHOT",0.00141965318471193,"slap",8477992,0
"316","GOAL",0.874763011932373,"wrist",NA,1
"323","SHOT",0.0623238161206245,"backhand",8475852,0
"324","SHOT",0.000416442489949986,"wrist",8477465,0
"327","SHOT",0.00136322935577482,"wrist",8475852,0
"334","SHOT",0.000776112545281649,"wrist",8477465,0
"338","SHOT",0.000703298486769199,"wrist",8477465,0
"348","SHOT",0.000569398631341755,"wrist",8475852,0
"350","SHOT",0.207826763391495,"backhand",8475852,0
"359","SHOT",0.00294044357724488,"wrist",8477465,0
"360","SHOT",0.0254760906100273,"snap",8477465,0
"364","GOAL",0.134977117180824,"tip-in",8475852,1
"367","SHOT",0.000993624562397599,"wrist",8477465,0
"368","SHOT",0.0518748350441456,"backhand",8475852,0
"370","SHOT",0.00151819875463843,"wrist",8477465,0
"374","SHOT",0.251828640699387,"tip-in",8475852,0
"376","SHOT",0.00138497131410986,"wrist",8477465,0
"377","SHOT",0.00130056031048298,"wrist",8477465,0
"378","SHOT",0.00162551563698798,"wrist",8477465,0
"381","SHOT",0.00342945568263531,"wrist",8475852,0
"391","SHOT",0.00596207706257701,"wrist",8477465,0
"397","SHOT",0.00516975158825517,"snap",8475852,0
"403","SHOT",0.00056936388136819,"snap",8477465,0
"404","SHOT",0.00512040220201015,"wrist",8475852,0
"407","SHOT",0.00247478927485645,"slap",8475852,0
"418","SHOT",0.000773050065618008,"wrist",8477465,0
"420","SHOT",0.0239535048604012,"backhand",8477465,0
"421","SHOT",0.00802274886518717,"wrist",8477465,0
"425","SHOT",0.00455636670812964,"wrist",8477465,0
"426","SHOT",0.00108574831392616,"snap",8477465,0
"433","SHOT",0.00115352275315672,"wrist",8475852,0
"437","SHOT",0.0208459366112947,"tip-in",8475852,0
"444","SHOT",0.00426193047314882,"wrist",8475852,0
"451","SHOT",0.000865628302562982,"wrist",8477465,0
"465","SHOT",0.00184839253779501,"wrist",8475852,0
