,,,Scor,Scor,Scor,Scor,,,Spec,Spec,,Shot,Shot,-additional
Rk,Player,Tm,G,A,PTS,+/-,PS,EV,PP,SH,GW,S,S%,-9999
1,Nicholas Abruzzese,TOR,0,2,2,1,0.2,0,0,0,0,2,0.0,abruzni01
2,Noel Acciari,TOT,14,9,23,-4,1.5,14,0,0,2,102,13.7,acciano01
2,Noel Acciari,STL,10,8,18,-6,1.1,10,0,0,1,74,13.5,acciano01
2,Noel Acciari,TOR,4,1,5,2,0.4,4,0,0,1,28,14.3,acciano01
3,Calen Addison,MIN,3,26,29,-17,3.2,3,0,0,1,77,3.9,addisca01
4,Egor Afanasyev,NSH,1,0,1,-7,-0.3,1,0,0,0,21,4.8,afanaeg01
5,Andrew Agozzino,SJS,1,2,3,-1,0.2,0,0,1,0,9,11.1,agozzan01
6,Sebastian Aho,CAR,36,31,67,8,8.2,26,7,3,9,218,16.5,ahose01
7,Sebastian Aho,NYI,5,18,23,9,4.6,5,0,0,0,89,5.6,ahose02
8,Nikita Alexandrov,STL,3,4,7,0,0.5,3,0,0,0,28,10.7,alexani01
9,Alexander Alexeyev,WSH,0,5,5,-2,0.9,0,0,0,0,28,0.0,alexeal01
10,Frédéric Allard,MTL,0,0,0,2,0.2,0,0,0,0,6,0.0,allarfr01
11,Wade Allison,PHI,9,6,15,-3,1.0,9,0,0,2,89,10.1,alliswa01
12,Michael Amadio,VEG,16,11,27,2,2.8,15,1,0,2,99,16.2,amadimi01
13,Nils Åman,VAN,4,12,16,-12,-0.1,4,0,0,1,50,8.0,amanni01
14,Joey Anderson,TOT,6,3,9,-8,0.5,6,0,0,1,41,14.6,anderjo08
14,Joey Anderson,CHI,4,2,6,-9,0.2,4,0,0,1,28,14.3,anderjo08
14,Joey Anderson,TOR,2,1,3,1,0.3,2,0,0,0,13,15.4,anderjo08
15,Josh Anderson,MTL,21,11,32,-8,2.8,16,4,1,5,164,12.8,anderjo05
16,Michael Anderson,LAK,5,15,20,20,5.2,4,1,0,1,90,5.6,andermi02
17,Jaret Anderson-Dolan,LAK,7,5,12,-11,0.6,7,0,0,2,54,13.0,anderja01
18,Lias Andersson,LAK,0,0,0,-1,-0.1,0,0,0,0,1,0.0,anderli01
19,Rasmus Andersson,CGY,11,38,49,5,8.0,9,1,1,4,159,6.9,anderra01
20,Andy Andreoff,NYI,0,1,1,-3,0.0,0,0,0,0,1,0.0,andrean01
21,Tyler Angle,CBJ,1,0,1,-2,0.1,1,0,0,0,5,20.0,anglety01
22,Mason Appleton,WPG,5,11,16,2,1.1,4,1,0,0,71,7.0,applema01
23,Josh Archibald,PIT,6,6,12,6,0.9,6,0,0,0,71,8.5,archijo01
24,Joel Armia,MTL,7,7,14,-7,0.7,6,0,1,0,69,10.1,armiajo01
25,Viktor Arvidsson,LAK,26,33,59,-4,5.7,15,10,1,2,228,11.4,arvidvi01
26,Rasmus Asplund,TOT,2,6,8,-6,-0.1,1,0,1,0,54,3.7,asplura01
26,Rasmus Asplund,BUF,2,6,8,0,0.4,1,0,1,0,33,6.1,asplura01
26,Rasmus Asplund,NSH,0,0,0,-6,-0.5,0,0,0,0,21,0.0,asplura01
27,Zach Aston-Reese,TOR,10,4,14,-6,0.7,10,0,0,2,89,11.2,astonza01
28,Andreas Athanasiou,CHI,20,20,40,-29,3.1,17,3,0,4,175,11.4,athanan01
29,Ronald Attard,PHI,0,0,0,0,0.0,0,0,0,0,5,0.0,attarro01
30,Nicolas Aubé-Kubel,TOT,4,8,12,1,0.7,4,0,0,0,67,6.0,aubekni01
30,Nicolas Aubé-Kubel,WSH,4,8,12,2,0.8,4,0,0,0,65,6.2,aubekni01
30,Nicolas Aubé-Kubel,TOR,0,0,0,-1,-0.1,0,0,0,0,2,0.0,aubekni01
